athlete,school,round,pick,conf,position,height,weight,handsize,armlength,forty,bench,vertical,broad,shuttle,threecone
Isaiah Johnson,Syracuse,na,na,ACC,FS,75,205,8.88,32.88,4.64,12,38.5,129,4.22,6.71
Javon Bullard,Georgia,2,58,SEC,FS,70.5,198,9,30.75,4.47,16,33,,3.97,7
Jaylin Simpson,Auburn,5,164,SEC,FS,71.63,179,9.88,32.38,4.45,,39.5,,4.55,7.03
Josh Proctor,Ohio State,na,na,Big10,FS,73.5,209,8.75,32,4.55,,32.5,121,4.32,7.07
Kamren Kinchens,Miami (FL),3,99,ACC,FS,71.25,203,9.75,31.25,4.65,13,35,110,,
Millard Bradford,Texas Christian,na,na,Big12,FS,70.5,191,9,31.25,4.42,15,38.5,124,4.3,7.08
Myles Harden,South Dakota,7,227,FCS,FS,70.88,195,9.38,29.88,4.5,13,35.5,118,3.98,6.88
Ryan Watts,Texas,6,195,Big12,FS,74.88,208,9.38,34.5,4.53,10,40.5,125,4.13,6.82
Tykee Smith,Georgia,3,89,SEC,FS,70,202,9.25,31.63,4.46,16,36,120,4.33,7.01
Tyler Nubin,Minnesota,2,47,Big10,FS,73.25,205,9,32,4.62,10,31.5,120,4.51,7.2
Aaron Casey,Indiana,na,na,Big10,ILB,73.13,230,9.63,32.75,4.75,16,30,117,4.4,7.09
Cedric Gray,North Carolina,4,106,ACC,ILB,73.75,241,9,32.5,4.64,17,35.5,120,4.54,7.19
Darius Muasau,UCLA,6,183,Pac12,ILB,71.88,225,9.5,31.5,4.7,,36.5,117,4.41,7.23
Easton Gibbs,Wyoming,na,na,MountainWest,ILB,72.38,232,9.25,30.38,4.73,20,31.5,109,4.37,6.98
Edefuan Ulofoshio,Washington,5,160,Pac12,ILB,72.5,236,9.25,32.88,4.56,21,39.5,128,4.33,7.69
Jaylan Ford,Texas,5,175,Big12,ILB,74.38,240,9.5,31.75,4.72,18,33.5,121,4.24,7.09
JD Bertrand,Notre Dame,5,143,ACC,ILB,72.88,235,9.75,30.63,4.68,20,,,,
Jeremiah Trotter,Clemson,5,155,ACC,ILB,72,228,9.25,31.5,4.60,21,,,4.4,7.13
Jontrey Hunter,Georgia State,na,na,SunBelt,ILB,73.88,234,9,31.75,4.94,17,32,111,4.37,7.41
Jordan Magee,Temple,5,139,CAA,ILB,73.38,228,8.75,32,4.55,,35.5,124,4.16,6.9
Junior Colson,Michigan,3,69,Big10,ILB,74.25,238,9.38,32.5,4.77,,34,,4.31,
Maema Njongmeta,Wisconsin,na,na,Big10,ILB,71.75,229,9.38,32.13,4.91,15,34.5,116,4.66,7.32
Michael Barrett,Michigan,7,240,Big10,ILB,71.38,233,8.5,32.13,4.72,,31,,4.55,
Nathaniel Watson,Mississippi State,6,206,SEC,ILB,74.25,233,9.88,32.88,4.63,16,31,111,4.44,7.34
Tatum Bethune,Florida State,7,251,ACC,ILB,71.5,229,10,32.38,4.77,16,30.5,115,4.35,7.03
Tommy Eichenberg,Ohio State,5,148,Big10,ILB,74.38,233,9.25,31.63,4.24,,32.5,116,4.24,7.02
Tyrice Knight,Texas-El Paso,4,118,CUSA,ILB,72.5,233,9.25,32.5,4.63,21,34.5,119,4.4,7.25
Brady Latham,Arkansas,na,na,SEC,OG,77.25,304,9.5,32.75,5.31,23,29,110,4.47,7.57
Brandon Coleman,Texas Christian,3,67,Big12,OG,76.5,313,10.75,34.63,4.99,24,34,114,4.62,7.4
Christian Haynes,Connecticut,3,81,Indy,OG,74.75,317,9,33.5,5.03,25,33,102,,
Christian Mahogany,Boston College,6,210,ACC,OG,75.38,314,10.5,33.5,5.13,,32.5,109,4.53,7.81
CJ Hanson,Holy Cross (MA),7,248,FCS,OG,77,300,9.38,32.38,5,25,33.5,115,4.71,7.9
Cooper Beebe,Kansas State,3,73,Big12,OG,75.25,322,9.25,31.5,5.03,20,27.5,109,4.61,7.44
Dominick Puni,Kansas,3,86,Big12,OG,77.13,313,10.13,33.38,5.35,26,30,107,4.4,7.47
Gottlieb Ayedze,Maryland,na,na,Big10,OG,76.13,308,9.88,33,5.01,21,26.5,112,,7.71
Isaiah Adams,Illinois,3,71,Big10,OG,76.25,315,9,33.88,5.22,22,24.5,102,4.73,7.77
Jarrett Kingston,USC,6,215,Pac12,OG,76.25,306,9.75,32.13,5.02,32,31.5,111,4.47,7.53
Javion Cohen,Miami (FL),na,na,ACC,OG,76.38,324,9.88,34,5.34,22,26.5,104,5.06,8.28
Karsen Barnhart,Michigan,na,na,Big10,OG,76.5,306,9.88,33.38,5.21,22,29.5,111,4.7,7.83
Keaton Bills,Utah,na,na,Pac12,OG,76.5,321,10,32.5,5.38,24,29.5,101,4.9,7.95
KT Leveston,Kansas State,7,254,Big12,OG,75.88,326,9.88,34.38,5.38,25,27.5,108,4.89,7.9
LaDarius Henderson,Michigan,7,249,Big10,OG,76.13,309,10.63,35,5.20,20,,,4.72,8.15
Layden Robinson,Texas A&M,4,103,SEC,OG,75.5,302,10.5,34.63,5.09,,26.5,111,4.75,7.75
Mason McCormick,South Dakota State,4,119,FCS,OG,76.25,309,10,33.88,5.08,32,35.5,117,4.45,7.59
Matthew Jones,Ohio State,na,na,Big10,OG,75.5,316,9,32.63,5.21,23,28,103,4.88,8.19
Prince Pines,Tulane (LA),na,na,CAA,OG,76.5,329,9.13,32.88,5.34,23,30,,,
Sataoa Laumea,Utah,6,179,Pac12,OG,76.25,319,9.88,32.88,5.25,26,26,104,,
Trente Jones,Michigan,na,na,Big10,OG,75.88,305,10.13,33,5.17,22,27,109,4.87,7.78
Trevor Keegan,Michigan,5,172,Big10,OG,77.38,310,10,32.38,5.24,,30.5,107,4.81,7.72
Troy Fautanu,Washington,1,20,Pac12,OG,75.75,317,9.5,34.5,5.01,29,32.5,113,,
XZauvea Gadlin,Liberty (VA),na,na,CUSA,OG,75.25,322,10.25,33.25,5.5,25,24,96,4.97,8.26
Zak Zinter,Michigan,3,85,Big10,OG,77.88,309,9.38,33.5,5.30,,,,,
Chris Braswell,Alabama,2,57,SEC,OLB,75.38,259,9.38,33.25,4.6,,33.5,115,,
Curtis Jacobs,Penn State,na,na,Big10,OLB,73.38,241,10.25,31.5,4.58,18,35,124,4.43,7.22
Dallas Turner,Alabama,1,17,SEC,OLB,74.75,247,9.88,34.38,4.46,20,40.5,127,,
Edgerrin Cooper,Texas A&M,2,45,SEC,OLB,74.13,230,9.75,34,4.51,,34.5,118,4.27,7.2
Gabriel Murphy,UCLA,na,na,Pac12,OLB,74.38,247,9.25,30.5,4.68,25,39.5,123,4.31,7.11
Javon Solomon,Troy (AL),5,168,SunBelt,OLB,72.88,246,10.75,33.88,4.72,23,37,119,4.39,7.27
Kalen DeLoach,Florida State,na,na,ACC,OLB,71.5,216,8.63,31.5,4.47,23,30.5,119,,
Marist Liufau,Notre Dame,3,87,ACC,OLB,74.13,234,9.88,34.25,4.64,,30,108,4.27,7.16
Mohamed Kamara,Colorado State,5,158,MountainWest,OLB,73.38,248,8.63,32.38,4.57,23,34.5,123,4.49,7.34
Payton Wilson,North Carolina State,3,98,ACC,OLB,75.88,233,9,30.5,4.43,,34.5,119,4.2,6.85
Steele Chambers,Ohio State,na,na,Big10,OLB,72.75,226,9.25,30.5,4.77,19,33.5,112,4.23,7.13
Trevin Wallace,Kentucky,3,72,SEC,OLB,73.13,237,9.13,32.63,4.51,20,37.5,127,,
TyRon Hopper,Missouri,3,91,SEC,OLB,73.75,231,8.88,31.38,4.68,,36,124,4.46,7.29
Amarius Mims,Georgia,1,18,SEC,OT,79.75,340,11.25,36.13,5.07,,25.5,111,4.33,
Andrew Coker,Texas Christian,na,na,Big12,OT,78.88,315,9.5,34,5.36,24,25.5,94,4.93,7.95
Anim Dankwah,Howard (DC),na,na,FCS,OT,79.75,349,9.75,35.13,5.44,24,27.5,88,5.21,8.46
Blake Fisher,Notre Dame,2,59,ACC,OT,77.75,318,10,34.38,5.2,22,28,114,4.73,7.76
Caedan Wallace,Penn State,3,68,Big10,OT,76.88,314,10.75,34,5.15,,31,116,4.96,7.73
Christian Jones,Texas,5,162,Big12,OT,77.25,305,10.63,34.5,5.04,20,,,4.78,8.09
Delmar Glaze,Maryland,3,77,Big10,OT,76.13,315,10.25,34.88,5.21,29,25.5,104,4.83,8.15
Ethan Driskell,Marshall (WV),na,na,SunBelt,OT,80.38,313,10.5,35.38,5.22,,,,,
Frank Crum,Wyoming,na,na,MountainWest,OT,80.25,313,10.5,33.88,4.94,22,31.5,114,4.73,7.39
