athlete,school,round,pick,conf,position,height,weight,handsize,armlength,forty,bench,vertical,broad,shuttle,threecone
Ray Davis,Kentucky,4,128,SEC,RB,68.38,211,8.88,30.25,4.52,21,35,119,4.51,
Trey Benson,Florida State,3,66,ACC,RB,72.25,216,9.25,31.5,4.39,23,33.5,122,,
Tyrone Tracy,Purdue,5,166,Big10,RB,71.13,209,9.13,31.75,4.48,20,40,124,4.06,6.81
Will Shipley,Clemson,4,127,ACC,RB,71,206,9.63,30.25,4.46,16,38.5,122,4.1,6.88
Beau Brade,Maryland,na,na,Big10,SS,72,203,10.13,31,4.68,15,32.5,120,4.31,6.89
Calen Bullock,USC,3,78,Pac12,SS,74,188,9,32.5,4.48,8,33,120,,
Daijahn Anthony,Mississippi,7,224,SEC,SS,72,195,9,32.5,4.55,10,37,116,4.19,6.89
Demani Richardson,Texas A&M,na,na,SEC,SS,72.5,210,9.88,32,4.6,,31,116,4.4,7.18
Dominique Hampton,Washington,5,161,Pac12,SS,74.38,215,10,33.25,4.51,20,39,122,4.14,6.83
Evan Williams,Oregon,4,111,Pac12,SS,71.25,200,10.13,30.13,4.6,18,40.5,126,4.08,7.1
Jaden Hicks,Washington State,4,133,Pac12,SS,73.88,215,9.38,31.5,4.5,16,37.5,122,4.37,6.88
James Williams,Miami (FL),7,242,ACC,SS,76.25,231,9.5,33.63,4.65,,30,117,,
Jaylen Key,Alabama,7,257,SEC,SS,72.75,208,9.63,32.25,4.6,,36.5,130,4.09,7.2
Jaylon Carlies,Missouri,5,151,SEC,SS,74.75,227,10,34.25,4.5,20,32.5,125,4.46,7.03
Kitan Oladapo,Oregon State,5,169,Pac12,SS,74,216,9.25,32.38,4.58,15,36,117,,
Malik Mustapha,Wake Forest,4,124,ACC,SS,70.13,209,9,30.13,4.54,22,41.5,126,,
Patrick McMorris,California,6,198,Pac12,SS,72.13,207,9.75,31.88,4.72,14,31,112,4.28,7.09
Sione Vaki,Utah,4,132,Pac12,SS,71.13,210,8.63,29.13,4.62,20,39.5,125,4.28,7.16
Tyler Owens,Texas Tech,na,na,Big12,SS,74.38,216,9.13,33.38,4.30,,41,146,,
AJ Barner,Michigan,4,121,Big10,TE,78,251,9,33.38,4.86,22,34.5,117,4.41,7.02
Ben Sinnott,Kansas State,2,53,Big12,TE,75.88,250,9.5,32.38,4.68,,40,126,4.23,6.82
Brevyn Spann-Ford,Minnesota,na,na,Big10,TE,78.5,260,10.25,33.38,4.77,18,31.5,116,4.51,7.38
Brock Bowers,Georgia,1,13,SEC,TE,75.13,243,9.75,32.75,4.53,,40.2,,4.44,
Cade Stover,Ohio State,4,123,Big10,TE,75.88,247,9.75,32.75,4.65,,34.5,117,4.45,
Dallin Holker,Colorado State,na,na,MountainWest,TE,75.38,241,10.25,33.63,4.78,15,32.5,122,4.21,6.83
Devin Culp,Washington,7,246,Pac12,TE,75.13,231,9.25,32.88,4.47,,35,118,4.31,7.28
Erick All,Iowa,4,115,Big10,TE,76.38,252,10.13,33,4.78,,,,,
Jack Westover,Washington,na,na,Pac12,TE,74.63,243,9.13,32.13,4.75,,,,4.38,7.08
Jared Wiley,Texas Christian,4,131,Big12,TE,78.13,249,9.5,33.25,4.62,,37,118,4.52,7.19
JaTavion Sanders,Texas,4,101,Big12,TE,75.88,245,10.13,32.88,4.69,8,30,114,4.32,
Tanner McLachlan,Arizona,6,194,Pac12,TE,77.13,244,9.38,31.63,4.61,20,35,117,4.58,7.38
Theo Johnson,Penn State,4,107,Big10,TE,78.13,259,10.25,33,4.57,,39.5,125,4.19,7.15
Tip Reiman,Illinois,3,82,Big10,TE,76.88,271,10.5,32.88,4.64,28,33.5,121,4.26,7.02
Trey Knox,South Carolina,na,na,SEC,TE,75.13,234,9.38,34.25,4.91,21,32.5,121,4.54,7.09
Adonai Mitchell,Texas,2,52,Big12,WR,74.25,205,9,32.38,4.34,,39.5,136,,
Ainias Smith,Texas A&M,5,152,SEC,WR,69.38,190,8.5,29,4.56,21,,,4.26,6.84
Anthony Gould,Oregon State,5,142,Pac12,WR,68.38,174,8.88,29.63,4.39,,39.5,129,4.16,6.94
Brenden Rice,USC,7,225,Pac12,WR,74.38,208,9.63,33,4.5,13,36.5,119,4.45,6.95
"Brian Thomas, Jr.",Louisiana State,1,23,SEC,WR,74.88,209,9.75,32.75,4.33,11,38.5,126,,
Bub Means,Pittsburgh,5,170,ACC,WR,73,227,10.13,33.25,4.43,19,39.5,122,4.4,
Casey Washington,Illinois,6,187,Big10,WR,73,201,9.63,31.75,4.46,13,39.5,127,4.43,7.39
Cornelius Johnson,Michigan,7,253,Big10,WR,74.75,212,8.63,31.88,4.44,13,37.5,127,4.37,6.93
Devaughn Vele,Utah,7,235,Pac12,WR,76,203,9.75,33.5,4.47,11,36,126,4.33,7.02
Devontez Walker,North Carolina,4,113,ACC,WR,73.5,193,9.13,33.25,4.36,,40.5,134,4.3,
Isaiah Williams,Illinois,na,na,Big10,WR,69.25,182,9.13,30.13,4.63,17,38,123,4.11,6.75
Jacob Cowing,Arizona,4,135,Pac12,WR,68.38,168,9,29.25,4.38,13,36,119,4.32,7.02
Jalen Coker,Holy Cross (MA),na,na,FCS,WR,73.38,208,9.88,32.88,4.57,12,42.5,128,,
Jalen McMillan,Washington,3,92,Pac12,WR,73,197,10,32.13,4.47,,37,127,4.18,6.94
JaLynn Polk,Washington,2,37,Pac12,WR,73.38,203,9.75,31.75,4.52,,37.5,129,,
Jamari Thrash,Louisville,5,156,ACC,WR,71.75,188,8.63,31,4.46,,34,120,,7.16
Javon Baker,Central Florida,4,110,Big12,WR,73.25,202,9.63,32.25,4.54,,37,121,,
Jermaine Burton,Alabama,3,80,SEC,WR,72.25,196,9.88,31,4.45,,38.5,133,,
JhaQuan Jackson,Tulane (LA),6,182,CAA,WR,69.13,188,8.88,30.88,4.42,12,32,118,,
Johnny Wilson,Florida State,6,185,ACC,WR,78.38,231,10,35.38,4.52,,37,128,,
Jordan Whittington,Texas,6,213,Big12,WR,72.63,205,10,30.38,4.56,18,,,,
Keon Coleman,Florida State,2,33,ACC,WR,75.25,213,9.38,32.13,4.61,,38,127,,
Ladd McConkey,Georgia,2,34,SEC,WR,71.63,186,8.63,30.25,4.39,13,36,124,3.97,6.72
Lideatrick Griffin,Mississippi State,na,na,SEC,WR,70,181,9.13,30.63,4.43,,35.5,124,4.35,7
Luke McCaffrey,Rice (TX),3,100,CAA,WR,73.63,198,9.63,30.13,4.46,12,36,121,4.02,6.7
Malachi Corley,Western Kentucky,3,65,CUSA,WR,70.63,207,9.13,32.13,4.56,,,,4.22,
Malik Nabers,Louisiana State,1,6,SEC,WR,71.75,200,9.88,31.38,4.41,15,42,129,,
Malik Washington,Virginia,6,184,ACC,WR,68.5,191,9.25,30.38,4.47,19,42.5,126,4.26,6.87
Marcus Rosemy-Jacksaint,Georgia,na,na,SEC,WR,73.13,195,10,33,4.84,11,35,119,4.45,7.35
"Marvin Harrison, Jr.",Ohio State,1,4,Big10,WR,75.25,209,9.5,31.88,4.35,,30.6,,3.94,
Ricky Pearsall,Florida,1,31,SEC,WR,73,189,9.25,30.88,4.41,17,42,129,4.05,6.64
Roman Wilson,Michigan,3,84,Big10,WR,70.75,185,9.38,30.38,4.39,12,,,4.07,6.89
Rome Odunze,Washington,1,9,Pac12,WR,74.88,212,9.25,32.25,4.45,,39,124,4.03,6.88
Ryan Flournoy,Southeast Missouri State,6,216,FCS,WR,72.75,202,10.13,31.63,4.44,19,39.5,132,4.37,7.08
Tahj Washington,USC,7,241,Pac12,WR,69.75,174,8.38,29.13,4.58,,35,122,4.22,6.84
Tayvion Robinson,Kentucky,na,na,SEC,WR,70.5,191,9.25,31,4.76,13,32,117,4.56,7.02
Troy Franklin,Oregon,4,102,Pac12,WR,73.88,176,8.75,31.88,4.41,,39,124,4.31,6.9
Xavier Legette,South Carolina,1,32,SEC,WR,73,221,9,31.88,4.39,24,40,126,,
Xavier Weaver,Colorado,na,na,Pac12,WR,72.25,169,8.88,31.13,4.49,,37,127,4.3,7
Xavier Worthy,Texas,1,28,Big12,WR,71.25,165,8.75,31.13,4.21,,41,131,,
